-12.13048205681014	{1., 2., 3.}	{0.11980201073916949, 0.2583856247370352, 0.4543903918678854}
-11.029492436419517	{1., 2., 4.}	{0.11759343819535036, 0.2526429372823243, 0.8366268599745}
-10.148119574337828	{1., 3., 4.}	{0.1167809279237857, 0.43522172509905177, 0.822512872654408}
-9.722210987693146	{0., 1., 7.}	{0.10782211698839742, 0.2279531947314777, 0. + 1.6367281455943254*I}
-9.575113621345189	{2., 3., 4.}	{0.2497655583913805, 0.4333391562354674, 0.8171316757089205}
-9.119040302205308	{0., 1., 8.}	{0. - 0.010495547546425878*I, 0.1682640205168054, 0. + 0.9631185618696502*I}
-8.948329243874642	{0., 2., 7.}	{0.1070253538093446, 0.376951300206581, 0. + 1.6102013110016644*I}
-8.449832983360542	{1., 2., 7.}	{0.2252383550142028, 0.375284815659572, 0. + 1.598197241839861*I}
-8.424636699679223	{0., 2., 8.}	{0.04795490416693393, 0.3203858789858632, 0. + 0.9886781123505266*I}
-8.055226083748718	{1., 2., 8.}	{0.17544917036992191, 0.32124638215823814, 0. + 0.9988272461801778*I}
-8.042526264769423	{1., 4., 5.}	{0.11400638138936219, 0.7708801885318274 + 0.5038780431490294*I, 0.7708801885318274 - 0.5038780431490294*I}
-8.029341542018663	{0., 3., 7.}	{-0.1056463503147367, 0.5967353635128361, 0. + 1.5729219174323315*I}
-7.544876576301281	{1., 3., 7.}	{0.2221191689328557, 0.5939094039452709, 0. + 1.5646029244159994*I}
-7.492351870987009	{2., 4., 5.}	{0.243414284349988, 0.7566203172974109 + 0.5034248334808666*I, 0.7566203172974109 - 0.5034248334808666*I}
-7.485467544560818	{0., 3., 8.}	{-0.052789651996644746, 0.5312380291876685, 0. + 0.9955305498310243*I}
-7.115709677718812	{1., 3., 8.}	{0.1738922766287947, 0.5303411612237156, 0. + 0.9995344185885772*I}
-7.096028658918042	{0., 4., 7.}	{0.10334045678664665, 1.0532389101304391, 0. + 1.5335769684776568*I}
-6.817200701234112	{2., 3., 7.}	{0.3662369278114792, 0.5882549780705342, 0. + 1.5511361966593997*I}
-6.660549736059247	{3., 4., 5.}	{0.41939261470445605, 0.7159046529500318 + 0.5022569279418961*I, 0.7159046529500318 - 0.5022569279418961*I}
-6.6298781802853215	{1., 4., 7.}	{0.2167764411558935, 1.048422515795985, 0. + 1.5298025633741064*I}
-6.469902035655577	{0., 4., 8.}	{0.053718644041193954, 0.9591207190556672, 0. + 0.9983507156243765*I}
-6.420612808721539	{2., 3., 8.}	{0.31592799681398986, 0.5267715776586527, 0. + 0.99985346967241*I}
-6.227114775243496	{-1., 6., 7.}	{0.09888277687634413, 0. + 2.8902479498734515*I, 0. + 1.5014345974014638*I}
-6.108227391312721	{1., 4., 8.}	{0.1704708467111525, 0.9563082906504172, 0. + 0.9998276942415314*I}
-5.926620097938419	{2., 4., 7.}	{0.35565659165395835, 1.0382319841817573, 0. + 1.5239373846371742*I}
-5.795585452587173	{0., 6., 7.}	{0.2062306929416127, 0. + 2.885692901952147*I, 0. + 1.5012690792416188*I}
-5.612618154361639	{4., 4., 5.}	{0.8235749901272017, 0.5494229797913344 + 0.5001214628763903*I, 0.5494229797913344 - 0.5001214628763903*I}
-5.435071387093094	{2., 4., 8.}	{0.30815860036149506, 0.948571189790757, 0. + 0.9999455268131332*I}
-5.421046485634585	{-1., 6., 8.}	{0.05196736902193565, 0. + 2.277281686307521*I, 0. + 0.999921393265924*I}
-5.142431133462622	{1., 6., 7.}	{0.33390813620808524, 0. + 2.8764735996877504*I, 0. + 1.5010185121324187*I}
-5.1024300200497015	{-1., 7., 7.}	{0.05014114900236829, 0. + 1.0003201222422136*I, 0. + 1.4672335344454972*I}
-5.087687303733421	{0., 6., 8.}	{0.16093734532625276, 0. + 2.2727574978699043*I, 0. + 0.9999918546270452*I}
-5.085319266494211	{3., 4., 7.}	{0.5546426570844818, 1.0161605935295108, 0. + 1.5167669045926648*I}
-4.795178379221802	{0., 7., 7.}	{0.1543301496760432, 0. + 1.0000334761524836*I, 0. + 1.4695564942603012*I}
-4.558424712373116	{3., 4., 8.}	{0.5010568561621571, 0.9305897379768073, 0. + 0.9999779103479186*I}
-4.487929858777529	{3., 4., 7.}	{0.2792104999102641 + 0.5000000015960785*I, 0.2792104999102641 - 0.5000000015960785*I, 0. + 1.7238368812117448*I}
-4.471771210504354	{1., 6., 8.}	{0.2866380763995552, 0. + 2.2620480470730144*I, 0. + 0.9999974808485069*I}
-4.357714740133438	{2., 6., 7.}	{0.5041662864742387, 0. + 2.8587058018032123*I, 0. + 1.5007179847480698*I}
-4.221947745745644	{1., 7., 7.}	{0.27414520924479296, 0. + 1.000010601063516*I, 0. + 1.4738760434351186*I}
-4.042432504228199	{4., 5., 6.}	{0.8025660186695855, 0.8011882568003952 + 0.9943448510277927*I, 0.8011882568003952 - 0.9943448510277927*I}
-4.005100299423214	{4., 4., 7.}	{0.5868598773960372 + 0.49994928256087307*I, 0.5868598773960372 - 0.49994928256087307*I, 0. + 1.523454726782995*I}
-3.6681020245111617	{2., 6., 8.}	{0.4497711776438668, 0. + 2.241204801449529*I, 0. + 0.9999990171977314*I}
-3.5512234681742068	{3., 6., 7.}	{0.7726853799064113, 0. + 2.8217554520535897*I, 0. + 1.5004113666089054*I}
-3.458548290737139	{2., 7., 7.}	{0.4282086425429393, 0. + 1.0000043843105506*I, 0. + 1.4796026266950104*I}
-3.4109167648202257	{4., 5., 7.}	{1.069515698908765 + 0.5151675447269298*I, 1.069515698908765 - 0.5151675447269298*I, 0. + 1.5049601993890915*I}
-3.3334289898452343	{4., 4., 8.}	{0.4471223456470103 + 0.49999579372603903*I, 0.4471223456470103 - 0.49999579372603903*I, 0. + 0.9999818740532679*I}
-2.8397397795996135	{4., 6., 7.}	{1.3571393299792986, 0. + 2.7338972353995756*I, 0. + 1.5001501010375848*I}
-2.800364782038002	{3., 6., 8.}	{0.7000054226181465, 0. + 2.2010871681257482*I, 0. + 0.999999628830338*I}
-2.6947015447124567	{4., 5., 8.}	{0.9507882592617011 + 0.5098559207857152*I, 0.9507882592617011 - 0.5098559207857152*I, 0. + 0.9999961410666651*I}
-2.609799471223998	{3., 7., 7.}	{0.6617395321808525, 0. + 1.0000019097320287*I, 0. + 1.4861274751685893*I}
-2.2865147242962545	{5., 6., 7.}	{0. + 4.509059407072559*I, 0. + 2.5217226041600225*I, 0. + 1.5000028655288071*I}
-2.000727587717232	{4., 6., 8.}	{1.2286544714527103, 0. + 2.1257705593067597*I, 0. + 0.9999999026422839*I}
-1.7958588221802512	{4., 7., 7.}	{1.1513814245452285, 0. + 1.0000007419509165*I, 0. + 1.4927846254694286*I}
-1.3273535186182284	{5., 6., 8.}	{0. + 3.6831714144885197*I, 0. + 2.0086834349055063*I, 0. + 0.9999999985867938*I}
-1.056731225313589	{5., 7., 7.}	{0. + 3.0627297238345363*I, 0. + 1.0000001038079658*I, 0. + 1.499452956804677*I}
-0.8744085011899373	{6., 6., 7.}	{0. + 1.5012331670094843*I, 0. + 1.9133359976022264*I, 0. + 0.9999999833242513*I}
